concept:name,time:timestamp,case:concept:name
Первичная проверка документов,1970-04-26 20:46:40+00:00,0
Уведомить о доработке,1970-04-26 20:46:41+00:00,0
Доработка заявления,1970-04-26 20:46:42+00:00,0
Первичная проверка документов,1970-04-26 20:46:43+00:00,0
Регистрация заявления,1970-04-26 20:46:44+00:00,0
Проверка инженером-экспертом,1970-04-26 20:46:45+00:00,0
Проверка архитектором-экспертом,1970-04-26 20:46:46+00:00,0
Отправить запрос на дополнительную экспертизу,1970-04-26 20:46:47+00:00,0
Проверка данных по материалу,1970-04-26 20:46:48+00:00,0
Запрос заключения пожарного эксперта,1970-04-26 20:46:49+00:00,0
Отправка документов со стороны архитектурного отдела,1970-04-26 20:46:50+00:00,0
Запрос заключения санитарно-эпидемиологической службы,1970-04-26 20:46:51+00:00,0
Отправка документов со стороны инженерного отдела,1970-04-26 20:46:52+00:00,0
Формирование пакета документов,1970-04-26 20:46:53+00:00,0
Рассмотрение руководителем,1970-04-26 20:46:54+00:00,0
Отправить уведомление об отказе,1970-04-26 20:46:55+00:00,0
Первичная проверка документов,1970-04-26 20:46:56+00:00,1
Регистрация заявления,1970-04-26 20:46:57+00:00,1
Проверка архитектором-экспертом,1970-04-26 20:46:58+00:00,1
Отправить запрос на дополнительную экспертизу,1970-04-26 20:46:59+00:00,1
Проверка данных по материалу,1970-04-26 20:47:00+00:00,1
Запрос заключения пожарного эксперта,1970-04-26 20:47:01+00:00,1
Требуется ручная проверка,1970-04-26 20:47:02+00:00,1
Ручная проверка пожарного надзора,1970-04-26 20:47:03+00:00,1
Отправка документов со стороны архитектурного отдела,1970-04-26 20:47:04+00:00,1
Проверка инженером-экспертом,1970-04-26 20:47:05+00:00,1
Требуется ручная проверка,1970-04-26 20:47:06+00:00,1
Проверка инженером экспертом,1970-04-26 20:47:07+00:00,1
Запрос заключения санитарно-эпидемиологической службы,1970-04-26 20:47:08+00:00,1
Требуется ручная проверка,1970-04-26 20:47:09+00:00,1
Проверка санэпидем надзором,1970-04-26 20:47:10+00:00,1
Отправка запроса миграционной службе,1970-04-26 20:47:11+00:00,1
Медкомиссия,1970-04-26 20:47:12+00:00,1
Отправка документов со стороны инженерного отдела,1970-04-26 20:47:13+00:00,1
Формирование пакета документов,1970-04-26 20:47:14+00:00,1
Рассмотрение заместителем руководителя,1970-04-26 20:47:15+00:00,1
Оформление и подписание разрешения,1970-04-26 20:47:16+00:00,1
Уведомить о готовности,1970-04-26 20:47:17+00:00,1
Получение разрешения заявителем,1970-04-26 20:47:18+00:00,1
Внесение в реестр,1970-04-26 20:47:19+00:00,1
Архивирование документов,1970-04-26 20:47:20+00:00,1
Первичная проверка документов,1970-04-26 20:47:21+00:00,2
Уведомить о доработке,1970-04-26 20:47:22+00:00,2
Доработка заявления,1970-04-26 20:47:23+00:00,2
Первичная проверка документов,1970-04-26 20:47:24+00:00,2
Уведомить о доработке,1970-04-26 20:47:25+00:00,2
Доработка заявления,1970-04-26 20:47:26+00:00,2
Первичная проверка документов,1970-04-26 20:47:27+00:00,2
Уведомить о доработке,1970-04-26 20:47:28+00:00,2
Доработка заявления,1970-04-26 20:47:29+00:00,2
Первичная проверка документов,1970-04-26 20:47:30+00:00,2
Уведомить о доработке,1970-04-26 20:47:31+00:00,2
