Unnamed: 0,activity,datetime,case_id,resource
0,Первичная проверка документов,1970-04-26 20:46:40+00:00,0,Служащий
1,Уведомить о доработке,1970-04-26 20:46:41+00:00,0,Система/Процесс
2,Доработка заявления,1970-04-26 20:46:42+00:00,0,Система/Процесс
3,Первичная проверка документов,1970-04-26 20:46:43+00:00,0,Служащий
4,Уведомить о доработке,1970-04-26 20:46:44+00:00,0,Система/Процесс
5,Доработка заявления,1970-04-26 20:46:45+00:00,0,Система/Процесс
6,Первичная проверка документов,1970-04-26 20:46:46+00:00,0,Служащий
7,Регистрация заявления,1970-04-26 20:46:47+00:00,0,Система/Процесс
8,Проверка инженером-экспертом,1970-04-26 20:46:48+00:00,0,Инженер
9,Проверка архитектором-экспертом,1970-04-26 20:46:49+00:00,0,Архитектор
10,Запрос заключения пожарного эксперта,1970-04-26 20:46:50+00:00,0,Пожарный надзор
11,Требуется ручная проверка,1970-04-26 20:46:51+00:00,0,Система/Процесс
12,Требуется ручная проверка,1970-04-26 20:46:52+00:00,0,Система/Процесс
13,Проверка инженером экспертом,1970-04-26 20:46:53+00:00,0,Инженер
14,Запрос заключения санитарно-эпидемиологической службы,1970-04-26 20:46:54+00:00,0,Санэпидемнадзор
15,Ручная проверка пожарного надзора,1970-04-26 20:46:55+00:00,0,Пожарный надзор
16,Требуется ручная проверка,1970-04-26 20:46:56+00:00,0,Система/Процесс
17,Проверка санэпидем надзором,1970-04-26 20:46:57+00:00,0,Санэпидемнадзор
18,Отправка документов со стороны архитектурного отдела,1970-04-26 20:46:58+00:00,0,Система/Процесс
19,Отправка запроса миграционной службе,1970-04-26 20:46:59+00:00,0,Система/Процесс
20,Медкомиссия,1970-04-26 20:47:00+00:00,0,Санэпидемнадзор
21,Отправка документов со стороны инженерного отдела,1970-04-26 20:47:01+00:00,0,Система/Процесс
22,Формирование пакета документов,1970-04-26 20:47:02+00:00,0,Система/Процесс
23,Рассмотрение заместителем руководителя,1970-04-26 20:47:03+00:00,0,Служащий
24,Отправить уведомление об отказе,1970-04-26 20:47:04+00:00,0,Система/Процесс
25,Первичная проверка документов,1970-04-26 20:47:05+00:00,1,Служащий
26,Регистрация заявления,1970-04-26 20:47:06+00:00,1,Система/Процесс
27,Проверка архитектором-экспертом,1970-04-26 20:47:07+00:00,1,Архитектор
28,Требуется ручная проверка,1970-04-26 20:47:08+00:00,1,Система/Процесс
29,Ручная проверка архитектора-эксперта,1970-04-26 20:47:09+00:00,1,Архитектор
30,Проверка инженером-экспертом,1970-04-26 20:47:10+00:00,1,Инженер
31,Требуется ручная проверка,1970-04-26 20:47:11+00:00,1,Система/Процесс
32,Запрос заключения пожарного эксперта,1970-04-26 20:47:12+00:00,1,Пожарный надзор
33,Отправка документов со стороны архитектурного отдела,1970-04-26 20:47:13+00:00,1,Система/Процесс
34,Проверка инженером экспертом,1970-04-26 20:47:14+00:00,1,Инженер
35,Запрос заключения санитарно-эпидемиологической службы,1970-04-26 20:47:15+00:00,1,Санэпидемнадзор
36,Отправка на медосмотр,1970-04-26 20:47:16+00:00,1,Система/Процесс
37,Медкомиссия,1970-04-26 20:47:17+00:00,1,Санэпидемнадзор
38,Отправка документов со стороны инженерного отдела,1970-04-26 20:47:18+00:00,1,Система/Процесс
39,Уведомление заявителя о не прохождении надзора,1970-04-26 20:47:19+00:00,1,Система/Процесс
40,Исправление замечаний по проекту,1970-04-26 20:47:20+00:00,1,Заявитель
41,Регистрация заявления,1970-04-26 20:47:21+00:00,1,Система/Процесс
42,Проверка инженером-экспертом,1970-04-26 20:47:22+00:00,1,Инженер
43,Проверка архитектором-экспертом,1970-04-26 20:47:23+00:00,1,Архитектор
44,Отправить запрос на дополнительную экспертизу,1970-04-26 20:47:24+00:00,1,Система/Процесс
45,Запрос заключения санитарно-эпидемиологической службы,1970-04-26 20:47:25+00:00,1,Санэпидемнадзор
46,Требуется ручная проверка,1970-04-26 20:47:26+00:00,1,Система/Процесс
47,Проверка санэпидем надзором,1970-04-26 20:47:27+00:00,1,Санэпидемнадзор
48,Проверка данных по материалу,1970-04-26 20:47:28+00:00,1,Система/Процесс
